,symbol
1906,PEL
1907,IF
1908,BANK
1909,CVT
1910,TROLL
1911,LIFE
1912,DRT
1913,AZ
1914,CTT
1915,QRK
1916,KANGAL
1917,UBEX
1918,ZYB
1919,LFW
1920,INEX
1921,RAZE
1922,DESU
1923,PLANETS
1924,TIDAL
1925,HIBAYC
1926,KDG
1927,HIPUNKS
1928,OPEN
1929,CLS
1930,TITAN
1931,GLC
1932,DNXC
1933,FTG
1934,QWAN
1935,BTB
1936,KAMPAY
1937,PTF
1938,HGET
1939,OCTO
1940,SILVA
1941,COOK
1942,RPZX
1943,ACN
1944,HIMAYC
1945,HTML
1946,DFA
1947,LNR
1948,SWINGBY
1949,RUFF
1950,TXL
1951,CNB
1952,MPH
1953,DDOS
1954,DEXA
1955,CRP
1956,BUY
1957,BeAI
1958,RACEFI
1959,MEMEMINT
1960,WATCH
1961,HICOOLCATS
1962,AG8
1963,SWRV
1964,BLINK
1965,DRC
1966,UBDN
1967,SOUL
1968,CRX
1969,CNTR
1970,TFBX
1971,HISQUIGGLE
1972,MIBR
1973,XCUR
1974,OBX
1975,FOR
1976,MTC
1977,AITRA
1978,LANC
1979,FINE
1980,DWEB
1981,NUX
1982,VAL
1983,HIAZUKI
1984,ROYA
1985,HGOLD
1986,NGM
1987,HELMET
